stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
Regional	(8.4,10]	Malaria	49	1	0.602870774497201	1
Regional	(8.4,10]	Toxoplasmosis	113	5	0.0592141409873201	1
Regional	(8.4,10]	Amoebiasis	96	3	0.264832029045733	1
Regional	(8.4,10]	Staphylococcus aureus infection	56	0	1	1
Regional	(8.4,10]	Tuberculosis	179	3	0.652473070155537	1
Regional	(8.4,10]	Hepatitis C	131	1	0.916490159786885	1
Regional	(8.4,10]	Hepatitis B	144	6	0.0516455875126152	1
Regional	(8.4,10]	Measles	132	1	0.918072044195392	1
Regional	(8.4,10]	Human cytomegalovirus infection	225	6	0.241419308437174	1
Regional	(8.4,10]	Influenza A	171	3	0.621592799142709	1
Regional	(8.4,10]	Human papillomavirus infection	339	9	0.179862050716316	1
Regional	(8.4,10]	Human T-cell leukemia virus 1 infection	219	7	0.113614052038381	1
Regional	(8.4,10]	Kaposi sarcoma-associated herpesvirus infection	186	5	0.265000178057082	1
Regional	(8.4,10]	Herpes simplex infection	185	3	0.674440048371515	1
Regional	(8.4,10]	Epstein-Barr virus infection	201	4	0.517802501097453	1
Regional	(8.4,10]	Human immunodeficiency virus 1 infection	212	5	0.360163210016808	1
Regional	(8.4,10]	Pathways in cancer	526	13	0.179470886260378	1
Regional	(8.4,10]	Transcriptional misregulation in cancer	186	5	0.265000178057082	1
Regional	(8.4,10]	Viral carcinogenesis	201	2	0.892994355851256	1
Regional	(8.4,10]	Chemical carcinogenesis	82	0	1	1
Regional	(8.4,10]	Proteoglycans in cancer	201	6	0.171483251327588	1
Regional	(8.4,10]	MicroRNAs in cancer	299	7	0.321951091860252	1
Regional	(8.4,10]	Colorectal cancer	86	0	1	1
Regional	(8.4,10]	Renal cell carcinoma	69	2	0.368922552334597	1
Regional	(8.4,10]	Pancreatic cancer	75	1	0.757320480992792	1
Regional	(8.4,10]	Endometrial cancer	58	1	0.665053284273444	1
Regional	(8.4,10]	Glioma	71	2	0.382288931614732	1
Regional	(8.4,10]	Prostate cancer	97	1	0.840247370684981	1
Regional	(8.4,10]	Thyroid cancer	37	2	0.150527826109542	1
Regional	(8.4,10]	Basal cell carcinoma	63	1	0.695315891918546	1
Regional	(8.4,10]	Melanoma	72	1	0.743106885509614	1
Regional	(8.4,10]	Bladder cancer	41	1	0.538050344437562	1
Regional	(8.4,10]	Chronic myeloid leukemia	76	1	0.76188261963791	1
Regional	(8.4,10]	Acute myeloid leukemia	66	2	0.348670766286832	1
Regional	(8.4,10]	Small cell lung cancer	93	4	0.0947769588108033	1
Regional	(8.4,10]	Non-small cell lung cancer	66	2	0.348670766286832	1
Regional	(8.4,10]	Breast cancer	147	2	0.763668308888286	1
Regional	(8.4,10]	Hepatocellular carcinoma	168	4	0.381619891836342	1
Regional	(8.4,10]	Gastric cancer	149	2	0.770219723219312	1
Regional	(8.4,10]	Central carbon metabolism in cancer	65	1	0.706646289530245	1
Regional	(8.4,10]	Choline metabolism in cancer	99	4	0.112514118900731	1
Regional	(8.4,10]	Asthma	31	0	1	1
Regional	(8.4,10]	Autoimmune thyroid disease	53	0	1	1
Regional	(8.4,10]	Inflammatory bowel disease (IBD)	65	0	1	1
Regional	(8.4,10]	Systemic lupus erythematosus	133	1	0.91962417529214	1
Regional	(8.4,10]	Rheumatoid arthritis	90	1	0.817490965733018	1
Regional	(8.4,10]	Allograft rejection	38	0	1	1
Regional	(8.4,10]	Graft-versus-host disease	41	0	1	1
Regional	(8.4,10]	Primary immunodeficiency	37	0	1	1
Regional	(8.4,10]	Hypertrophic cardiomyopathy (HCM)	83	3	0.200655883263922	1
Regional	(8.4,10]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	2	0.38892775755538	1
Regional	(8.4,10]	Dilated cardiomyopathy (DCM)	90	2	0.502177056234338	1
Regional	(8.4,10]	Viral myocarditis	59	0	1	1
Regional	(8.4,10]	Fluid shear stress and atherosclerosis	139	2	0.735837871017899	1
Distant	[0,1.4]	Glycolysis / Gluconeogenesis	68	1	0.151950625983029	1
Distant	[0,1.4]	Citrate cycle (TCA cycle)	30	1	0.0699595164553741	1
Distant	[0,1.4]	Pentose phosphate pathway	30	0	1	1
Distant	[0,1.4]	Pentose and glucuronate interconversions	34	0	1	1
Distant	[0,1.4]	Fructose and mannose metabolism	33	0	1	1
Distant	[0,1.4]	Galactose metabolism	31	0	1	1
Distant	[0,1.4]	Ascorbate and aldarate metabolism	27	0	1	1
Distant	[0,1.4]	Fatty acid biosynthesis	13	0	1	1
Distant	[0,1.4]	Fatty acid elongation	30	0	1	1
Distant	[0,1.4]	Fatty acid degradation	44	0	1	1
Distant	[0,1.4]	Synthesis and degradation of ketone bodies	10	0	1	1
Distant	[0,1.4]	Steroid biosynthesis	19	0	1	1
Distant	[0,1.4]	Primary bile acid biosynthesis	17	0	1	1
Distant	[0,1.4]	Ubiquinone and other terpenoid-quinone biosynthesis	11	0	1	1
Distant	[0,1.4]	Steroid hormone biosynthesis	60	0	1	1
Distant	[0,1.4]	Oxidative phosphorylation	133	0	1	1
Distant	[0,1.4]	Arginine biosynthesis	21	0	1	1
Distant	[0,1.4]	Purine metabolism	174	0	1	1
Distant	[0,1.4]	Caffeine metabolism	5	0	1	1
Distant	[0,1.4]	Pyrimidine metabolism	101	0	1	1
Distant	[0,1.4]	Alanine, aspartate and glutamate metabolism	35	0	1	1
Distant	[0,1.4]	Glycine, serine and threonine metabolism	40	1	0.0922333896248142	1
Distant	[0,1.4]	Cysteine and methionine metabolism	47	0	1	1
Distant	[0,1.4]	Valine, leucine and isoleucine biosynthesis	4	0	1	1
Distant	[0,1.4]	Lysine degradation	59	0	1	1
Distant	[0,1.4]	Arginine and proline metabolism	50	0	1	1
Distant	[0,1.4]	Histidine metabolism	23	0	1	1
Distant	[0,1.4]	Tyrosine metabolism	36	0	1	1
Distant	[0,1.4]	Phenylalanine metabolism	17	0	1	1
Distant	[0,1.4]	Tryptophan metabolism	40	0	1	1
Distant	[0,1.4]	Phenylalanine, tyrosine and tryptophan biosynthesis	5	0	1	1
Distant	[0,1.4]	beta-Alanine metabolism	31	0	1	1
Distant	[0,1.4]	Taurine and hypotaurine metabolism	11	0	1	1
Distant	[0,1.4]	Phosphonate and phosphinate metabolism	6	0	1	1
Distant	[0,1.4]	Selenocompound metabolism	17	0	1	1
Distant	[0,1.4]	D-Glutamine and D-glutamate metabolism	5	0	1	1
Distant	[0,1.4]	D-Arginine and D-ornithine metabolism	1	0	1	1
Distant	[0,1.4]	Glutathione metabolism	56	0	1	1
Distant	[0,1.4]	Starch and sucrose metabolism	36	0	1	1
Distant	[0,1.4]	N-Glycan biosynthesis	49	0	1	1
Distant	[0,1.4]	Other glycan degradation	18	0	1	1
Distant	[0,1.4]	Mucin type O-glycan biosynthesis	31	1	0.0722099168726075	1
Distant	[0,1.4]	Other types of O-glycan biosynthesis	22	0	1	1
Distant	[0,1.4]	Mannose type O-glycan biosynthesis	23	0	1	1
Distant	[0,1.4]	Amino sugar and nucleotide sugar metabolism	48	0	1	1
Distant	[0,1.4]	Neomycin, kanamycin and gentamicin biosynthesis	5	0	1	1
Distant	[0,1.4]	Glycosaminoglycan degradation	19	0	1	1
Distant	[0,1.4]	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	0	1	1
Distant	[0,1.4]	Glycosaminoglycan biosynthesis - keratan sulfate	14	1	0.0332444870617686	1
Distant	[0,1.4]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	0	1	1
Distant	[0,1.4]	Glycerolipid metabolism	61	0	1	1
Distant	[0,1.4]	Inositol phosphate metabolism	74	1	0.164255020920642	1
Distant	[0,1.4]	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	0	1	1
Distant	[0,1.4]	Glycerophospholipid metabolism	97	0	1	1
Distant	[0,1.4]	Ether lipid metabolism	47	0	1	1
Distant	[0,1.4]	Arachidonic acid metabolism	63	0	1	1
Distant	[0,1.4]	Linoleic acid metabolism	29	0	1	1
Distant	[0,1.4]	alpha-Linolenic acid metabolism	25	0	1	1
Distant	[0,1.4]	Sphingolipid metabolism	47	0	1	1
Distant	[0,1.4]	Glycosphingolipid biosynthesis - lacto and neolacto series	27	0	1	1
Distant	[0,1.4]	Glycosphingolipid biosynthesis - globo and isoglobo series	15	1	0.0355787056040743	1
Distant	[0,1.4]	Glycosphingolipid biosynthesis - ganglio series	15	1	0.0355787056040743	1
Distant	[0,1.4]	Glyoxylate and dicarboxylate metabolism	30	1	0.0699595164553741	1
Distant	[0,1.4]	Propanoate metabolism	32	1	0.0744551738632354	1
Distant	[0,1.4]	Butanoate metabolism	28	1	0.0654432409668499	1
Distant	[0,1.4]	One carbon pool by folate	20	0	1	1
Distant	[0,1.4]	Thiamine metabolism	16	0	1	1
Distant	[0,1.4]	Riboflavin metabolism	8	0	1	1
Distant	[0,1.4]	Vitamin B6 metabolism	6	0	1	1
Distant	[0,1.4]	Nicotinate and nicotinamide metabolism	30	0	1	1
Distant	[0,1.4]	Pantothenate and CoA biosynthesis	19	0	1	1
Distant	[0,1.4]	Biotin metabolism	3	0	1	1
Distant	[0,1.4]	Lipoic acid metabolism	3	0	1	1
Distant	[0,1.4]	Folate biosynthesis	26	0	1	1
Distant	[0,1.4]	Retinol metabolism	67	0	1	1
Distant	[0,1.4]	Porphyrin and chlorophyll metabolism	42	0	1	1
Distant	[0,1.4]	Terpenoid backbone biosynthesis	22	0	1	1
Distant	[0,1.4]	Nitrogen metabolism	17	0	1	1
Distant	[0,1.4]	Sulfur metabolism	9	0	1	1
Distant	[0,1.4]	Aminoacyl-tRNA biosynthesis	66	0	1	1
Distant	[0,1.4]	Metabolism of xenobiotics by cytochrome P450	76	0	1	1
Distant	[0,1.4]	Drug metabolism - cytochrome P450	72	0	1	1
Distant	[0,1.4]	Drug metabolism - other enzymes	79	0	1	1
Distant	[0,1.4]	Biosynthesis of unsaturated fatty acids	27	0	1	1
Distant	[0,1.4]	Metabolic pathways	1305	3	0.632292372050003	1
Distant	[0,1.4]	Carbon metabolism	116	1	0.245781209607945	1
Distant	[0,1.4]	2-Oxocarboxylic acid metabolism	18	0	1	1
Distant	[0,1.4]	Fatty acid metabolism	48	0	1	1
Distant	[0,1.4]	Biosynthesis of amino acids	75	0	1	1
Distant	[0,1.4]	EGFR tyrosine kinase inhibitor resistance	79	0	1	1
Distant	[0,1.4]	Endocrine resistance	98	0	1	1
Distant	[0,1.4]	Antifolate resistance	31	0	1	1
Distant	[0,1.4]	Platinum drug resistance	73	0	1	1
Distant	[0,1.4]	ABC transporters	44	0	1	1
Distant	[0,1.4]	Ribosome biogenesis in eukaryotes	105	0	1	1
Distant	[0,1.4]	Ribosome	153	0	1	1
Distant	[0,1.4]	RNA transport	171	0	1	1
Distant	[0,1.4]	mRNA surveillance pathway	91	0	1	1
Distant	[0,1.4]	RNA degradation	79	0	1	1
Distant	[0,1.4]	RNA polymerase	31	0	1	1
Distant	[0,1.4]	Basal transcription factors	45	0	1	1
Distant	[0,1.4]	DNA replication	36	0	1	1
Distant	[0,1.4]	Spliceosome	134	2	0.040520916461738	1
Distant	[0,1.4]	Proteasome	45	0	1	1
Distant	[0,1.4]	Protein export	23	0	1	1
Distant	[0,1.4]	PPAR signaling pathway	74	0	1	1
Distant	[0,1.4]	Base excision repair	33	0	1	1
Distant	[0,1.4]	Nucleotide excision repair	47	0	1	1
Distant	[0,1.4]	Mismatch repair	23	0	1	1
Distant	[0,1.4]	Homologous recombination	41	0	1	1
Distant	[0,1.4]	Non-homologous end-joining	13	0	1	1
Distant	[0,1.4]	Fanconi anemia pathway	54	0	1	1
Distant	[0,1.4]	MAPK signaling pathway	295	0	1	1
Distant	[0,1.4]	ErbB signaling pathway	85	0	1	1
Distant	[0,1.4]	Ras signaling pathway	232	0	1	1
Distant	[0,1.4]	Rap1 signaling pathway	206	0	1	1
Distant	[0,1.4]	Calcium signaling pathway	183	0	1	1
Distant	[0,1.4]	cGMP-PKG signaling pathway	163	0	1	1
Distant	[0,1.4]	cAMP signaling pathway	199	0	1	1
Distant	[0,1.4]	Cytokine-cytokine receptor interaction	294	0	1	1
Distant	[0,1.4]	Chemokine signaling pathway	189	0	1	1
Distant	[0,1.4]	NF-kappa B signaling pathway	95	0	1	1
Distant	[0,1.4]	HIF-1 signaling pathway	100	0	1	1
Distant	[0,1.4]	FoxO signaling pathway	132	1	0.27481507757532597	1
Distant	[0,1.4]	Phosphatidylinositol signaling system	99	1	0.213731603763764	1
Distant	[0,1.4]	Sphingolipid signaling pathway	118	0	1	1
Distant	[0,1.4]	Phospholipase D signaling pathway	146	0	1	1
Distant	[0,1.4]	Neuroactive ligand-receptor interaction	277	0	1	1
Distant	[0,1.4]	Cell cycle	124	1	0.260432693069025	1
Distant	[0,1.4]	Oocyte meiosis	125	1	0.262245111248025	1
Distant	[0,1.4]	p53 signaling pathway	72	0	1	1
Distant	[0,1.4]	Ubiquitin mediated proteolysis	137	0	1	1
Distant	[0,1.4]	Sulfur relay system	8	0	1	1
Distant	[0,1.4]	SNARE interactions in vesicular transport	34	0	1	1
Distant	[0,1.4]	Autophagy - other	32	0	1	1
Distant	[0,1.4]	Mitophagy - animal	65	0	1	1
Distant	[0,1.4]	Autophagy - animal	128	0	1	1
Distant	[0,1.4]	Protein processing in endoplasmic reticulum	165	0	1	1
Distant	[0,1.4]	Lysosome	123	0	1	1
Distant	[0,1.4]	Endocytosis	244	1	0.450388093410458	1
Distant	[0,1.4]	Phagosome	152	0	1	1
Distant	[0,1.4]	Peroxisome	83	0	1	1
Distant	[0,1.4]	mTOR signaling pathway	151	0	1	1
Distant	[0,1.4]	PI3K-Akt signaling pathway	354	1	0.583149171516621	1
Distant	[0,1.4]	AMPK signaling pathway	120	0	1	1
Distant	[0,1.4]	Apoptosis	136	0	1	1
Distant	[0,1.4]	Longevity regulating pathway	89	0	1	1
Distant	[0,1.4]	Longevity regulating pathway - multiple species	62	0	1	1
Distant	[0,1.4]	Apoptosis - multiple species	33	0	1	1
Distant	[0,1.4]	Ferroptosis	40	0	1	1
Distant	[0,1.4]	Necroptosis	162	2	0.0570033528928827	1
Distant	[0,1.4]	Cellular senescence	160	1	0.32310082168792	1
Distant	[0,1.4]	Cardiac muscle contraction	78	0	1	1
Distant	[0,1.4]	Adrenergic signaling in cardiomyocytes	144	0	1	1
Distant	[0,1.4]	Vascular smooth muscle contraction	121	0	1	1
Distant	[0,1.4]	Wnt signaling pathway	149	0	1	1
Distant	[0,1.4]	Notch signaling pathway	48	0	1	1
Distant	[0,1.4]	Hedgehog signaling pathway	47	0	1	1
Distant	[0,1.4]	TGF-beta signaling pathway	84	1	0.184388438314896	1
Distant	[0,1.4]	Axon guidance	175	1	0.347702657922136	1
Distant	[0,1.4]	VEGF signaling pathway	59	0	1	1
Distant	[0,1.4]	Apelin signaling pathway	137	0	1	1
Distant	[0,1.4]	Osteoclast differentiation	128	0	1	1
Distant	[0,1.4]	Hippo signaling pathway	154	0	1	1
Distant	[0,1.4]	Hippo signaling pathway - multiple species	29	0	1	1
Distant	[0,1.4]	Focal adhesion	199	2	0.081746782005181	1
Distant	[0,1.4]	ECM-receptor interaction	82	1	0.180398768833007	1
Distant	[0,1.4]	Cell adhesion molecules (CAMs)	144	1	0.295894259742562	1
Distant	[0,1.4]	Adherens junction	72	0	1	1
Distant	[0,1.4]	Tight junction	170	0	1	1
Distant	[0,1.4]	Gap junction	88	0	1	1
Distant	[0,1.4]	Signaling pathways regulating pluripotency of stem cells	139	0	1	1
Distant	[0,1.4]	Complement and coagulation cascades	79	0	1	1
Distant	[0,1.4]	Platelet activation	123	0	1	1
Distant	[0,1.4]	Antigen processing and presentation	77	0	1	1
Distant	[0,1.4]	Renin-angiotensin system	23	0	1	1
Distant	[0,1.4]	Toll-like receptor signaling pathway	104	0	1	1
Distant	[0,1.4]	NOD-like receptor signaling pathway	168	0	1	1
Distant	[0,1.4]	RIG-I-like receptor signaling pathway	70	0	1	1
Distant	[0,1.4]	Cytosolic DNA-sensing pathway	63	0	1	1
Distant	[0,1.4]	C-type lectin receptor signaling pathway	104	0	1	1
Distant	[0,1.4]	JAK-STAT signaling pathway	162	1	0.326430966352059	1
Distant	[0,1.4]	Hematopoietic cell lineage	97	0	1	1
Distant	[0,1.4]	Natural killer cell mediated cytotoxicity	131	0	1	1
Distant	[0,1.4]	IL-17 signaling pathway	93	0	1	1
Distant	[0,1.4]	Th1 and Th2 cell differentiation	92	1	0.200164438887587	1
Distant	[0,1.4]	Th17 cell differentiation	107	0	1	1
Distant	[0,1.4]	T cell receptor signaling pathway	101	0	1	1
Distant	[0,1.4]	B cell receptor signaling pathway	71	0	1	1
Distant	[0,1.4]	Fc epsilon RI signaling pathway	68	0	1	1
Distant	[0,1.4]	Fc gamma R-mediated phagocytosis	91	0	1	1
Distant	[0,1.4]	TNF signaling pathway	110	0	1	1
Distant	[0,1.4]	Leukocyte transendothelial migration	112	0	1	1
Distant	[0,1.4]	Intestinal immune network for IgA production	49	0	1	1
Distant	[0,1.4]	Circadian rhythm	31	1	0.0722099168726075	1
Distant	[0,1.4]	Circadian entrainment	96	1	0.207943936896991	1
Distant	[0,1.4]	Thermogenesis	229	0	1	1
Distant	[0,1.4]	Long-term potentiation	67	0	1	1
Distant	[0,1.4]	Synaptic vesicle cycle	63	0	1	1
Distant	[0,1.4]	Neurotrophin signaling pathway	119	1	0.251307349720197	1
Distant	[0,1.4]	Retrograde endocannabinoid signaling	148	0	1	1
Distant	[0,1.4]	Glutamatergic synapse	114	0	1	1
Distant	[0,1.4]	Cholinergic synapse	112	0	1	1
Distant	[0,1.4]	Serotonergic synapse	115	0	1	1
Distant	[0,1.4]	GABAergic synapse	88	0	1	1
Distant	[0,1.4]	Dopaminergic synapse	131	0	1	1
Distant	[0,1.4]	Long-term depression	60	0	1	1
Distant	[0,1.4]	Olfactory transduction	448	0	1	1
Distant	[0,1.4]	Taste transduction	83	0	1	1
Distant	[0,1.4]	Phototransduction	28	0	1	1
Distant	[0,1.4]	Inflammatory mediator regulation of TRP channels	99	0	1	1
Distant	[0,1.4]	Regulation of actin cytoskeleton	213	0	1	1
Distant	[0,1.4]	Insulin signaling pathway	137	0	1	1
Distant	[0,1.4]	Insulin secretion	85	0	1	1
Distant	[0,1.4]	GnRH signaling pathway	93	0	1	1
Distant	[0,1.4]	Ovarian steroidogenesis	49	0	1	1
Distant	[0,1.4]	Progesterone-mediated oocyte maturation	99	1	0.213731603763764	1
Distant	[0,1.4]	Estrogen signaling pathway	137	0	1	1
Distant	[0,1.4]	Melanogenesis	101	0	1	1
Distant	[0,1.4]	Prolactin signaling pathway	70	0	1	1
Distant	[0,1.4]	Thyroid hormone synthesis	74	0	1	1
Distant	[0,1.4]	Thyroid hormone signaling pathway	116	0	1	1
Distant	[0,1.4]	Adipocytokine signaling pathway	69	0	1	1
Distant	[0,1.4]	Oxytocin signaling pathway	152	0	1	1
Distant	[0,1.4]	Glucagon signaling pathway	103	0	1	1
Distant	[0,1.4]	Regulation of lipolysis in adipocytes	54	0	1	1
Distant	[0,1.4]	Renin secretion	65	0	1	1
Distant	[0,1.4]	Aldosterone synthesis and secretion	96	0	1	1
Distant	[0,1.4]	Relaxin signaling pathway	130	0	1	1
Distant	[0,1.4]	Cortisol synthesis and secretion	64	0	1	1
Distant	[0,1.4]	Parathyroid hormone synthesis, secretion and action	106	0	1	1
Distant	[0,1.4]	Type II diabetes mellitus	46	0	1	1
Distant	[0,1.4]	Insulin resistance	107	0	1	1
Distant	[0,1.4]	Non-alcoholic fatty liver disease (NAFLD)	149	0	1	1
Distant	[0,1.4]	AGE-RAGE signaling pathway in diabetic complications	99	0	1	1
Distant	[0,1.4]	Cushing syndrome	154	1	0.31301684203103203	1
Distant	[0,1.4]	Type I diabetes mellitus	43	0	1	1
Distant	[0,1.4]	Maturity onset diabetes of the young	26	0	1	1
Distant	[0,1.4]	Aldosterone-regulated sodium reabsorption	37	0	1	1
Distant	[0,1.4]	Endocrine and other factor-regulated calcium reabsorption	47	0	1	1
Distant	[0,1.4]	Vasopressin-regulated water reabsorption	44	1	0.101001076091838	1
Distant	[0,1.4]	Proximal tubule bicarbonate reclamation	23	0	1	1
Distant	[0,1.4]	Collecting duct acid secretion	27	0	1	1
Distant	[0,1.4]	Salivary secretion	90	0	1	1
Distant	[0,1.4]	Gastric acid secretion	75	0	1	1
Distant	[0,1.4]	Pancreatic secretion	96	0	1	1
Distant	[0,1.4]	Carbohydrate digestion and absorption	44	0	1	1
Distant	[0,1.4]	Protein digestion and absorption	90	1	0.196247682132792	1
Distant	[0,1.4]	Fat digestion and absorption	41	0	1	1
Distant	[0,1.4]	Bile secretion	71	0	1	1
Distant	[0,1.4]	Vitamin digestion and absorption	24	0	1	1
Distant	[0,1.4]	Mineral absorption	51	0	1	1
Distant	[0,1.4]	Cholesterol metabolism	50	0	1	1
Distant	[0,1.4]	Alzheimer disease	171	0	1	1
Distant	[0,1.4]	Parkinson disease	142	0	1	1
Distant	[0,1.4]	Amyotrophic lateral sclerosis (ALS)	51	0	1	1
Distant	[0,1.4]	Huntington disease	193	0	1	1
Distant	[0,1.4]	Prion diseases	35	0	1	1
Distant	[0,1.4]	Cocaine addiction	49	0	1	1
Distant	[0,1.4]	Amphetamine addiction	68	0	1	1
Distant	[0,1.4]	Morphine addiction	91	0	1	1
Distant	[0,1.4]	Nicotine addiction	40	0	1	1
Distant	[0,1.4]	Alcoholism	180	1	0.355713854728586	1
Distant	[0,1.4]	Bacterial invasion of epithelial cells	74	1	0.164255020920642	1
Distant	[0,1.4]	Vibrio cholerae infection	50	0	1	1
Distant	[0,1.4]	Epithelial cell signaling in Helicobacter pylori infection	68	0	1	1
Distant	[0,1.4]	Pathogenic Escherichia coli infection	55	0	1	1
Distant	[0,1.4]	Shigellosis	65	0	1	1
Distant	[0,1.4]	Salmonella infection	86	0	1	1
Distant	[0,1.4]	Pertussis	76	0	1	1
Distant	[0,1.4]	Legionellosis	55	0	1	1
Distant	[0,1.4]	Leishmaniasis	74	0	1	1
Distant	[0,1.4]	Chagas disease (American trypanosomiasis)	102	0	1	1
Distant	[0,1.4]	African trypanosomiasis	35	0	1	1
Distant	[0,1.4]	Malaria	49	0	1	1
Distant	[0,1.4]	Toxoplasmosis	113	0	1	1
Distant	[0,1.4]	Amoebiasis	96	0	1	1
Distant	[0,1.4]	Staphylococcus aureus infection	56	0	1	1
Distant	[0,1.4]	Tuberculosis	179	0	1	1
Distant	[0,1.4]	Hepatitis C	131	0	1	1
Distant	[0,1.4]	Hepatitis B	144	1	0.295894259742562	1
Distant	[0,1.4]	Measles	132	0	1	1
Distant	[0,1.4]	Human cytomegalovirus infection	225	0	1	1
Distant	[0,1.4]	Influenza A	171	0	1	1
Distant	[0,1.4]	Human papillomavirus infection	339	1	0.567024216993775	1
Distant	[0,1.4]	Human T-cell leukemia virus 1 infection	219	1	0.41508778705115	1
Distant	[0,1.4]	Kaposi sarcoma-associated herpesvirus infection	186	0	1	1
Distant	[0,1.4]	Herpes simplex infection	185	1	0.363632064512893	1
Distant	[0,1.4]	Epstein-Barr virus infection	201	0	1	1
Distant	[0,1.4]	Human immunodeficiency virus 1 infection	212	0	1	1
Distant	[0,1.4]	Pathways in cancer	526	2	0.365177858079486	1
Distant	[0,1.4]	Transcriptional misregulation in cancer	186	0	1	1
Distant	[0,1.4]	Viral carcinogenesis	201	1	0.388357236807687	1
Distant	[0,1.4]	Chemical carcinogenesis	82	0	1	1
Distant	[0,1.4]	Proteoglycans in cancer	201	1	0.388357236807687	1
Distant	[0,1.4]	MicroRNAs in cancer	299	0	1	1
Distant	[0,1.4]	Colorectal cancer	86	0	1	1
Distant	[0,1.4]	Renal cell carcinoma	69	0	1	1
Distant	[0,1.4]	Pancreatic cancer	75	0	1	1
Distant	[0,1.4]	Endometrial cancer	58	0	1	1
Distant	[0,1.4]	Glioma	71	0	1	1
Distant	[0,1.4]	Prostate cancer	97	0	1	1
Distant	[0,1.4]	Thyroid cancer	37	0	1	1
Distant	[0,1.4]	Basal cell carcinoma	63	0	1	1
Distant	[0,1.4]	Melanoma	72	0	1	1
Distant	[0,1.4]	Bladder cancer	41	0	1	1
Distant	[0,1.4]	Chronic myeloid leukemia	76	0	1	1
Distant	[0,1.4]	Acute myeloid leukemia	66	0	1	1
Distant	[0,1.4]	Small cell lung cancer	93	1	0.202116050667447	1
Distant	[0,1.4]	Non-small cell lung cancer	66	0	1	1
Distant	[0,1.4]	Breast cancer	147	0	1	1
Distant	[0,1.4]	Hepatocellular carcinoma	168	0	1	1
Distant	[0,1.4]	Gastric cancer	149	1	0.304505315057681	1
Distant	[0,1.4]	Central carbon metabolism in cancer	65	0	1	1
Distant	[0,1.4]	Choline metabolism in cancer	99	0	1	1
Distant	[0,1.4]	Asthma	31	0	1	1
Distant	[0,1.4]	Autoimmune thyroid disease	53	0	1	1
Distant	[0,1.4]	Inflammatory bowel disease (IBD)	65	1	0.145734461307391	1
Distant	[0,1.4]	Systemic lupus erythematosus	133	1	0.276594187375468	1
Distant	[0,1.4]	Rheumatoid arthritis	90	0	1	1
Distant	[0,1.4]	Allograft rejection	38	0	1	1
Distant	[0,1.4]	Graft-versus-host disease	41	0	1	1
Distant	[0,1.4]	Primary immunodeficiency	37	0	1	1
Distant	[0,1.4]	Hypertrophic cardiomyopathy (HCM)	83	1	0.182395901926415	1
Distant	[0,1.4]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	0	1	1
Distant	[0,1.4]	Dilated cardiomyopathy (DCM)	90	1	0.196247682132792	1
Distant	[0,1.4]	Viral myocarditis	59	1	0.133172805830053	1
Distant	[0,1.4]	Fluid shear stress and atherosclerosis	139	1	0.287182581477203	1
Distant	(1.4,2.8]	Pentose phosphate pathway	30	0	1	1
Distant	(1.4,2.8]	Pentose and glucuronate interconversions	34	1	0.901936919290121	1
Distant	(1.4,2.8]	Galactose metabolism	31	0	1	1
Distant	(1.4,2.8]	Ascorbate and aldarate metabolism	27	0	1	1
Distant	(1.4,2.8]	Fatty acid elongation	30	0	1	1
Distant	(1.4,2.8]	Fatty acid degradation	44	1	0.950571090838613	1
Distant	(1.4,2.8]	Synthesis and degradation of ketone bodies	10	0	1	1
Distant	(1.4,2.8]	Steroid biosynthesis	19	0	1	1
Distant	(1.4,2.8]	Primary bile acid biosynthesis	17	0	1	1
Distant	(1.4,2.8]	Ubiquinone and other terpenoid-quinone biosynthesis	11	0	1	1
Distant	(1.4,2.8]	Steroid hormone biosynthesis	60	1	0.983515412403463	1
Distant	(1.4,2.8]	Oxidative phosphorylation	133	2	0.998874762343577	1
Distant	(1.4,2.8]	Purine metabolism	174	5	0.991336160054543	1
Distant	(1.4,2.8]	Caffeine metabolism	5	0	1	1
Distant	(1.4,2.8]	Pyrimidine metabolism	101	3	0.966746914753531	1
Distant	(1.4,2.8]	Glycine, serine and threonine metabolism	40	2	0.750551043266369	1
Distant	(1.4,2.8]	Cysteine and methionine metabolism	47	2	0.825512776932072	1
Distant	(1.4,2.8]	Valine, leucine and isoleucine biosynthesis	4	0	1	1
Distant	(1.4,2.8]	Arginine and proline metabolism	50	0	1	1
Distant	(1.4,2.8]	Histidine metabolism	23	1	0.791884456542289	1
Distant	(1.4,2.8]	Tyrosine metabolism	36	1	0.91448667808013	1
Distant	(1.4,2.8]	Phenylalanine metabolism	17	1	0.686420268179031	1
Distant	(1.4,2.8]	Tryptophan metabolism	40	0	1	1
Distant	(1.4,2.8]	Phenylalanine, tyrosine and tryptophan biosynthesis	5	0	1	1
Distant	(1.4,2.8]	Selenocompound metabolism	17	0	1	1
Distant	(1.4,2.8]	D-Arginine and D-ornithine metabolism	1	0	1	1
